split,trade_date,control_set,available_controls,n,raw_ic,residual_ic,score_coef_after_controls
test,20250115,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.020727830934454423,0.15212094430554174,0.010214695544323209
test,20250115,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.020727830934454423,-0.011647184772285723,-0.0007754585103993601
test,20250116,none,,90,-0.05804092438570983,-0.05804092438570983,-0.0028390934096627274
test,20250116,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.05804092438570983,-0.03758048576823043,-0.0018199763849890108
test,20250116,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.05804092438570983,0.047185165316677144,0.0026829035156965358
test,20250116,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.05804092438570983,-0.038575066319955616,-0.0024429288891985785
test,20250116,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.05804092438570983,-0.12437436829025998,-0.00793952649308387
test,20250117,none,,90,-0.07602836143465169,-0.07602836143465169,-0.003943468711566595
test,20250117,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.07602836143465169,-0.0672192406531192,-0.0034885470293047807
test,20250117,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.07602836143465169,0.057888164951361835,0.0029736484596783294
test,20250117,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.07602836143465169,-0.08220330728988841,-0.005649250605456885
test,20250117,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,-0.07602836143465169,-0.13596456855530184,-0.009573425714216155
test,20250120,none,,90,-0.03654813753928663,-0.03654813753928663,-0.0015799466722030454
test,20250120,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.03654813753928663,-0.04103348073598189,-0.0017612837968968753
test,20250120,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.03654813753928663,-0.06873789385708476,-0.0028297876356987305
test,20250120,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.03654813753928663,-0.15031082247691738,-0.009904640432542496
