trade_date,ts_code,lag1_net_mf_strength_20d_mean,lag1_net_mf_strength_60d_mean,lag1_close_position,lag1_excess_ret_10d_mean,lag1_excess_ret_1d,lag1_excess_ret_5d_mean,lag1_industry_neutral_ret_1d,lag1_ret_1d,lag1_ret_20d,lag1_ret_5d_mean,lag1_bollinger_z_20d,lag1_ma_ratio_20_60,lag1_macd_hist,lag1_turnover_cost_proxy__resid_style,lag1_turnover_20d_std__resid_style,lag1_turnover_60d_std__resid_style,lag1_amount_rank_pct__resid_style,lag1_amount_log__resid_style,amount
20260427,300693.SZ,0.0,0.0,0.15270935960591236,-0.0013491802746236846,-0.012744090441932143,-0.015522247525698085,-0.012744090441932143,-0.012744090441932143,0.08936266727149,-0.015522247525698085,0.0,1.0,0.0,0.0,0.0,0.0,0.8444040036396724,13.41528082632517,670165.07
20260428,300693.SZ,0.0,0.0,0.2019230769230772,-0.012138896334727367,-0.033054393305439245,-0.018578080315226297,-0.033054393305439245,-0.033054393305439245,0.03748597081930427,-0.018578080315226297,0.0,1.0,0.0,0.0,0.0,0.0,0.8345481049562682,13.362298582088671,635582.391
20260429,300693.SZ,0.0,0.0,0.682432432432434,-0.007584703768411171,0.018630849220104162,-0.014851910471205465,0.018630849220104162,0.018630849220104162,0.0759725400457667,-0.014851910471205465,0.0,1.0,0.0,0.0,0.0,0.0,0.8180153789820579,13.251570930693788,568962.14
20260430,300693.SZ,0.0,0.0,0.4634146341463401,-0.01031972993627317,-0.009168443496801681,-0.006939010476608676,-0.009168443496801681,-0.009168443496801681,0.043800539083557855,-0.006939010476608676,0.0,1.0,0.0,0.0,0.0,0.0,0.7957875457875457,13.161112133049338,519753.64
20260506,300693.SZ,0.0,0.0,0.6965517241379311,-0.004752945551654198,0.06254002134471714,0.005240788664129648,0.06254002134471714,0.06254002134471714,0.1173961840628508,0.005240788664129648,0.0,1.0,0.0,0.0,0.0,0.0,0.9065573770491804,14.173071887447245,1429837.255
20260507,300693.SZ,0.0,0.0,0.944736842105263,0.0016688103323632352,0.0553513071895424,0.018859868190424556,0.0553513071895424,0.0553513071895424,0.1406181015452539,0.018859868190424556,0.0,1.0,0.0,0.0,0.0,0.0,0.9300928454396504,14.404285331748204,1801778.475
20260508,300693.SZ,0.0,0.0,0.7156862745098046,0.005209123074619404,0.017627898064763503,0.028996326464465105,0.017627898064763503,0.017627898064763503,0.2133881654100982,0.028996326464465105,0.0,1.0,0.0,0.0,0.0,0.0,0.9109451830267711,14.140916634876785,1384591.783
20260511,300693.SZ,0.0,0.0,0.4174757281553398,0.008194715853650813,0.029855927790314096,0.031241342178507093,0.029855927790314096,0.029855927790314096,0.2858690940615518,0.031241342178507093,0.0,1.0,0.0,0.0,0.0,0.0,0.9433618648697869,14.665507218597467,2339638.039
20260512,300693.SZ,0.0,0.0,0.6818181818181822,0.01647240616823804,0.034043959676086644,0.03988382281308476,0.034043959676086644,0.034043959676086644,0.29464100972480867,0.03988382281308476,0.0,1.0,0.0,0.0,0.0,0.0,0.9204007285974499,14.339134394702933,1688133.101
20260513,300693.SZ,0.0,0.0,0.8297872340425524,0.028929662827436455,0.12621359223300965,0.05261853699074326,0.12621359223300965,0.12621359223300965,0.46835443037974667,0.05261853699074326,0.0,1.0,0.0,0.0,0.0,0.0,0.9399235390496996,14.538567214224095,2060721.514
20260514,300693.SZ,0.0,0.0,0.115007012622721,0.021255653518822592,-0.08948418352807075,0.02365143884722063,-0.08948418352807075,-0.08948418352807075,0.3598638008086825,0.02365143884722063,0.0,1.0,0.0,0.0,0.0,0.0,0.9340979428363372,14.51971725449912,2022240.797
20260515,300693.SZ,0.0,0.0,0.1220556745182013,0.018981155545291284,-0.05579937304075233,0.008965984626117463,-0.05579937304075233,-0.05579937304075233,0.17495611468695138,0.008965984626117463,0.0,1.0,0.0,0.0,0.0,0.0,0.9266606005459509,14.420473256079008,1831182.901
20260518,300693.SZ,0.0,0.0,0.30827067669172903,0.016783510569751258,-0.0033456005352960894,0.0023256789609954255,-0.0033456005352960894,-0.0033456005352960894,0.19398797595190387,0.0023256789609954255,0.0,1.0,0.0,0.0,0.0,0.0,0.9019821785779233,14.027761053992242,1236456.574
20260519,300693.SZ,0.0,0.0,0.8139534883720932,0.021725384515237266,0.0402502959580584,0.003566946217389777,0.0402502959580584,0.0402502959580584,0.20702511773940335,0.003566946217389777,0.0,1.0,0.0,0.0,0.0,0.0,0.9231889333818711,14.245411847087857,1537104.787
20260520,300693.SZ,0.0,0.0,0.6176470588235312,0.016160358758718307,0.006889763779527547,-0.020297819473306646,0.006889763779527547,0.006889763779527547,0.19695787831513267,-0.020297819473306646,0.0,1.0,0.0,0.0,0.0,0.0,0.8825027282648236,13.91245267815649,1101795.6
20260521,300693.SZ,0.0,0.0,0.05555555555555567,0.0017204661350021632,-0.08904761904761904,-0.020210506577216302,-0.08904761904761904,-0.08904761904761904,0.09231062047963468,-0.020210506577216302,0.0,1.0,0.0,0.0,0.0,0.0,0.8851117978549354,14.080929791258946,1303976.532
20260522,300693.SZ,0.0,0.0,0.6448979591836739,0.0004907803697983936,0.005331040412725807,-0.007984423886520675,0.005331040412725807,0.005331040412725807,0.13757540377505362,-0.007984423886520675,0.0,1.0,0.0,0.0,0.0,0.0,0.8602834302325582,13.680087734282695,873345.562
20260525,300693.SZ,0.0,0.0,0.25974025974026127,-0.004563547811301738,-0.02068735402068722,-0.0114527745835989,-0.02068735402068722,-0.02068735402068722,0.1523360816647037,-0.0114527745835989,0.0,1.0,0.0,0.0,0.0,0.0,0.8510174418604651,13.703990247441515,894472.224
20260526,300693.SZ,0.0,0.0,0.19501133786848043,-0.013878269865866932,-0.0591032608695653,-0.03132348594912364,-0.0591032608695653,-0.0591032608695653,0.13524590163934436,-0.03132348594912364,0.0,1.0,0.0,0.0,0.0,0.0,0.8960755813953488,14.065119145125166,1283521.931
20260527,300693.SZ,0.0,0.0,0.09226190476190525,-0.028848141100641544,-0.02348512011473647,-0.03739846272797644,-0.02348512011473647,-0.02348512011473647,0.1155027646938358,-0.03739846272797644,0.0,1.0,0.0,0.0,0.0,0.0,0.8643298220123502,13.777263322987322,962473.954
20260528,300693.SZ,0.0,0.0,0.6820276497695833,-0.021161148707615096,-0.012614259597806265,-0.02211179083801389,-0.012614259597806265,-0.012614259597806265,0.12450551738496762,-0.02211179083801389,0.0,1.0,0.0,0.0,0.0,0.0,0.8556120595713766,13.621919072218432,823993.449
20260529,300693.SZ,0.0,0.0,0.11410788381742679,-0.022178623468420488,-0.06597412064880626,-0.0363728230503203,-0.06597412064880626,-0.06597412064880626,0.10882734746862832,-0.0363728230503203,0.0,1.0,0.0,0.0,0.0,0.0,0.8514078110808356,13.715986947439449,905267.57575
20260601,300693.SZ,0.0,0.0,0.20873786407766953,-0.023428298345339105,-0.01584234930448225,-0.035403822107079305,-0.01584234930448225,-0.01584234930448225,0.08336877924287522,-0.035403822107079305,0.0,1.0,0.0,0.0,0.0,0.0,0.8449527959331881,13.504887799472229,732989.3381
20260304,300694.SZ,0.0,0.0,0.44736842105263047,0.0,-0.001626016260162677,0.0,-0.001626016260162677,-0.001626016260162677,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27877237851662406,11.230705395252635,75409.771
20260305,300694.SZ,0.0,0.0,0.2812500000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2366691015339664,10.989263726312103,59233.755
20260306,300694.SZ,0.0,0.0,1.0,0.0,0.03539823008849563,0.011257404609444318,0.03539823008849563,0.03539823008849563,0.0,0.011257404609444318,0.0,1.0,0.0,0.0,0.0,0.0,0.19901405879130912,10.89463188422888,53885.318
20260309,300694.SZ,0.0,0.0,0.6129032258064491,0.0,0.003958828186856556,0.009432760503797377,0.003958828186856556,0.003958828186856556,0.0,0.009432760503797377,0.0,1.0,0.0,0.0,0.0,0.0,0.2413793103448276,11.14981156394056,69549.721
20260310,300694.SZ,0.0,0.0,0.9062500000000021,0.011921208403037875,0.021874999999999867,0.011921208403037875,0.021874999999999867,0.021874999999999867,0.0,0.011921208403037875,0.0,1.0,0.0,0.0,0.0,0.0,0.24530023726957473,11.02597594167751,61448.805
20260311,300694.SZ,0.0,0.0,0.34615384615384587,0.009299177734238903,-0.003810975609755962,0.011484216533119217,-0.003810975609755962,-0.003810975609755962,0.0,0.011484216533119217,0.0,1.0,0.0,0.0,0.0,0.0,0.19609631521342577,10.829427619473714,50483.802
20260312,300694.SZ,0.0,0.0,0.06896551724138375,0.005019581570871298,-0.02065799540933433,0.007352617451252352,-0.02065799540933433,-0.02065799540933433,0.0,0.007352617451252352,0.0,1.0,0.0,0.0,0.0,0.0,0.22072236410069318,10.915047590652023,54996.752
20260313,300694.SZ,0.0,0.0,0.5749999999999986,0.005858122928460788,0.011727912431587217,0.0026185539198706697,0.011727912431587217,0.011727912431587217,0.0,0.0026185539198706697,0.0,1.0,0.0,0.0,0.0,0.0,0.2603539500091224,11.044541291697508,62600.298
20260316,300694.SZ,0.0,0.0,0.7142857142857191,0.0057232162528870634,0.004643962848297267,0.002755580852158812,0.004643962848297267,0.004643962848297267,0.0,0.002755580852158812,0.0,1.0,0.0,0.0,0.0,0.0,0.25237226277372266,10.99386445665634,59506.906
20260317,300694.SZ,0.0,0.0,0.0,0.00201393976914388,-0.03136954858454477,-0.007893328864750115,-0.03136954858454477,-0.03136954858454477,0.0,-0.007893328864750115,0.0,1.0,0.0,0.0,0.0,0.0,0.192223439211391,10.806754076433814,49352.012
20260318,300694.SZ,0.0,0.0,0.9000000000000018,0.003751344544766466,0.015748031496063186,-0.003981527443586286,0.015748031496063186,0.015748031496063186,0.0,-0.003981527443586286,0.0,1.0,0.0,0.0,0.0,0.0,0.23507939405000913,10.845150802397953,51283.857
20260319,300694.SZ,0.0,0.0,0.10204081632653202,0.0011772415806479031,-0.02574102964118563,-0.004998134289956546,-0.02574102964118563,-0.02574102964118563,0.0,-0.004998134289956546,0.0,1.0,0.0,0.0,0.0,0.0,0.2781529476181785,11.074451773612756,64501.017
20260320,300694.SZ,0.0,0.0,0.023255813953487893,-0.008548148438510938,-0.061855670103092786,-0.019714850796892548,-0.061855670103092786,-0.061855670103092786,0.0,-0.019714850796892548,0.0,1.0,0.0,0.0,0.0,0.0,0.4240102171136654,11.564623596900002,105304.781
20260323,300694.SZ,0.0,0.0,0.14942528735632082,-0.014836430915608222,-0.05892399658411629,-0.03242844268337526,-0.05892399658411629,-0.05892399658411629,0.0,-0.03242844268337526,0.0,1.0,0.0,0.0,0.0,0.0,0.3281050519788437,11.578493733860547,106775.563
20260324,300694.SZ,0.0,0.0,0.8620689655172413,-0.016315966313838293,0.0070796460176991705,-0.02473860376292647,0.0070796460176991705,0.0070796460176991705,0.0,-0.02473860376292647,0.0,1.0,0.0,0.0,0.0,0.0,0.32548804962598066,11.319124624590353,82381.196
