run,engine,split,setting,net_ann,net_ir,net_mdd,excess_benchmark_ann,excess_exec_universe_ann,avg_filled_turnover,avg_position_count
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k10_style0.05_turn0.02,-0.0032641784824207,0.0285189409130023,-0.5124216823746004,0.0097406584973289,0.0912110417964204,0.0402473031703804,25.61855670103093
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k10_style0.1_turn0,-0.0044035414991528,0.0282008850564724,-0.5134203478797801,0.0086568289564894,0.0900673347536167,0.0392633514599033,25.649484536082475
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k10_style0.1_turn0.02,-0.0041521068470251,0.0282708070027598,-0.5134485426916578,0.0088944513781263,0.09032546317093,0.0392565398546937,25.649484536082475
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k10_style0.2_turn0,-0.0045523875327745,0.0282557619844813,-0.5143228920582529,0.0087785051920861,0.0902363660938001,0.0386370212120982,25.690721649484537
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k10_style0.2_turn0.02,-0.0039583020667771,0.0283950007207386,-0.5144999600681075,0.0092571875184315,0.0907311464768025,0.0386164539326027,25.649484536082475
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0_turn0,-0.0382901609047742,0.0086641291231484,-0.4280622378791858,-0.033057531750834,0.0404156011449883,0.0677223453204817,50.43298969072165
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0_turn0.02,-0.0375777978073024,0.0089264921903507,-0.4277620717548855,-0.0323718587280792,0.0411458712611638,0.0673072804305114,50.29896907216495
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0.05_turn0,-0.0388158354006333,0.00845331428532,-0.4273558574320176,-0.0335156651658233,0.0398950660286405,0.0670967191288805,49.896907216494846
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0.05_turn0.02,-0.0395991069140735,0.0081336717773279,-0.4263498888276017,-0.0342403171688069,0.0391480841262021,0.0665908477177929,49.37113402061856
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0.1_turn0,-0.0403355436413528,0.0078995771265003,-0.4285824070839696,-0.0348774669228637,0.0384377788517682,0.0662628184397614,49.44329896907217
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0.1_turn0.02,-0.0414760156629007,0.0074696579511572,-0.428256045720873,-0.0358250334813217,0.0374328484687902,0.0659985467410782,49.48453608247423
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0.2_turn0,-0.0151525701598213,0.0198079654383484,-0.4577004312307547,-0.0056714239036353,0.0711874505441374,0.0635598014759133,48.94845360824742
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k20_style0.2_turn0.02,-0.0166732577733843,0.019209061743695,-0.4580063919492414,-0.0072619034580866,0.0694849584848653,0.0636915521333293,48.97938144329897
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k30_style0_turn0,-0.046280369035312,0.0023128028975952,-0.4123138875161776,-0.0455168212866535,0.0266991778794456,0.089006083171653,72.56701030927834
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k30_style0_turn0.02,-0.0453633604961221,0.002736041594084,-0.411661532873591,-0.0445123571798669,0.0277696212136882,0.0885905456967802,72.41237113402062
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k30_style0.05_turn0,-0.0573019651843265,-0.0023513707859467,-0.4101627678551831,-0.0559306176226982,0.0155460130477604,0.0887486812128748,72.68041237113403
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k30_style0.05_turn0.02,-0.0595436374448877,-0.0033776594928627,-0.4130915231155114,-0.0581795834930798,0.0130951380920294,0.0875393411923127,72.31958762886597
clean_alpha_only,barra_lite_optimizer,validation,industry_size_k30_style0.1_turn0,-0.0603668715225699,-0.003263423237791,-0.4186757650968532,-0.0582680054153409,0.0130756188312124,0.0873739299325118,72.18556701030928
