split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,portfolio_nav,participation_cap,turnover_cap,exposure_cap,exposure_slack_penalty,buy_capacity_slack_penalty,cash_penalty,min_invested_shortfall_penalty,single_name_cap,min_invested,optimizer_status,solver_message,fallback_used,invested_weight,cash_weight,desired_turnover,filled_turnover,filled_desired_ratio,buy_turnover,sell_turnover,position_count,max_abs_exposure_z,avg_abs_exposure_z,max_exposure_slack,avg_exposure_slack,total_exposure_slack,buy_capacity_slack,min_invested_shortfall,min_invested_rule_ok,objective_value
validation,20240821,industry_size_liquidity_vol_mom,20,0.2,0.02,-0.024938325150874786,-0.02502542474709266,-0.017363617954463728,-0.018621415265474114,-0.007661806792628931,-0.006404009481618546,8.709959621787297e-05,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000000565823,0.19999999994341766,0.05806595827759021,0.05806639747858198,1.0000075638292176,0.029033198778984897,0.02903319869959708,85,0.42121631585443414,0.23874305970577936,0.07121631586203145,0.004451019755954352,0.07121631609526963,0.0,0.0,1.0,-3.4321123684130144
validation,20240828,industry_size_liquidity_vol_mom,20,0.0,0.0,0.029259003481246538,0.029046268965132443,0.015142052937797024,0.02350636429371386,0.01390421602733542,0.005539904671418582,0.00021273451611409427,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.800000000036049,0.19999999996395101,0.07782264840027528,0.14182301074272952,1.822387359696022,0.07091150543345516,0.07091150530927436,85,0.4554411251344178,0.23307758937847436,0.10544112513790814,0.010036879828788614,0.16059007726061783,0.0,0.0,1.0,-4.96813986839135
validation,20240828,industry_size_liquidity_vol_mom,20,0.0,0.02,0.03019850811326542,0.030079104331618086,0.015142052937797024,0.02350636429371386,0.014937051393821062,0.006572740037904225,0.0001194037816473357,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000195895307,0.1999999804104693,0.07958823808419126,0.0796025210982238,1.0001794613673622,0.03980120848758223,0.03980131261064158,85,0.5450807275191918,0.24476555123442506,0.19508080934399366,0.012192556946045569,0.1950809111367291,9.455223890462992e-12,0.0,1.0,-5.8350856365741235
validation,20240828,industry_size_liquidity_vol_mom,20,0.05,0.0,0.031357767612999736,0.0311455441396946,0.015142052937797024,0.02350636429371386,0.016003491201897577,0.00763917984598074,0.00021222347330513726,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8179882648425384,0.1820117351574616,0.0916222461775685,0.14148231553675816,1.5441917376982697,0.07973527346486546,0.061747042071892695,87,0.5548389553165931,0.2744187625819102,0.20483897756429761,0.02130307224047261,0.34084915584756176,2.574250534531323e-10,0.0,1.0,-9.780217140011214
validation,20240828,industry_size_liquidity_vol_mom,20,0.05,0.02,0.03166476303030924,0.031531685395587865,0.015142052937797024,0.02350636429371386,0.01638963245779084,0.008025321101874004,0.0001330776347213757,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8164948537297764,0.18350514627022363,0.0887182620568328,0.0887184231475838,1.0000018157563872,0.05260663843815806,0.036111784709425734,87,0.5381493325533817,0.2883444981811066,0.18814933255888508,0.032804386145038264,0.5248701783206122,0.0,0.0,1.0,-14.382039981098135
validation,20240828,industry_size_liquidity_vol_mom,20,0.1,0.0,0.028004130908134167,0.027791763072266138,0.015142052937797024,0.02350636429371386,0.012649710134469114,0.0042853987785522775,0.0002123678358680301,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000002480628,0.19999999975193716,0.08480220867025129,0.1415785572453534,1.669514974496405,0.0707892781232864,0.07078927912206699,86,0.47809569954776904,0.29315684183932933,0.1280956995774081,0.024359780391520286,0.3897564862643246,0.0,0.0,1.0,-11.147243095367012
validation,20240828,industry_size_liquidity_vol_mom,20,0.1,0.02,0.027710011703021148,0.02759179078847471,0.015142052937797024,0.02350636429371386,0.012449737850677687,0.00408542649476085,0.00011822091454643587,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000000701937,0.19999999992980633,0.07881377685500485,0.07881394303095725,1.000002108463254,0.039406971502111636,0.03940697152884561,84,0.5148883132183492,0.2998301117050788,0.16488831322307865,0.024214035149313896,0.38742456238902234,0.0,0.0,1.0,-11.07041950176179
validation,20240828,industry_size_liquidity_vol_mom,20,0.2,0.0,0.028023889862046878,0.027811713767709825,0.015142052937797024,0.02350636429371386,0.012669660829912801,0.004305349473995964,0.00021217609433705294,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000008622875,0.1999999991377125,0.07957627798212544,0.14145072955803528,1.777548952337381,0.07072536528855444,0.07072536426948083,89,0.5352511319146692,0.28061286846888206,0.1852511320727598,0.02388812407437854,0.38220998519005667,0.0,0.0,1.0,-11.37813433061161
validation,20240828,industry_size_liquidity_vol_mom,20,0.2,0.02,0.02891538850525182,0.028796403619908442,0.015142052937797024,0.02350636429371386,0.013654350682111419,0.005290039326194582,0.0001189848853433782,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000012039175,0.19999999879608255,0.07932102358521839,0.07932325689558546,1.0000281553397337,0.03966162906819057,0.039661627827394894,86,0.5344736414817156,0.2985599400976031,0.18447364154132842,0.012045281685841349,0.19272450697346158,0.0,0.0,1.0,-6.770470505619623
validation,20240904,industry_size_liquidity_vol_mom,20,0.0,0.0,-0.005477516452937257,-0.005632539286123941,0.0023722541463793156,-0.011684809182365983,-0.008004793432503257,0.006052269896242041,0.00015502283318668438,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.8000000009035906,0.19999999909640942,0.05665179040595831,0.10334855545778959,1.824276950776122,0.05167427818842673,0.05167427726936286,86,0.5456664278198959,0.26638388521720124,0.19566642790836128,0.020838092721672596,0.33340948354676153,0.0,0.0,1.0,-9.303419754091497
