split,k,keep_multiplier,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_transaction_cost,avg_buy_reject_count,avg_sell_reject_count,avg_partial_fill_count,avg_position_count,portfolio_nav,participation_cap
validation,30,1.5,97,-0.1542485432983941,-0.043179232732832626,-0.5191409660961331,-0.14661205769545216,-0.07458923583718102,0.9779437893420444,0.19256651396717603,0.00028884977095076404,0.041237113402061855,7.164948453608248,42.03092783505155,56.30927835051546,1000000.0,0.01
validation,30,3.0,97,-0.16606078506584687,-0.05090929938748144,-0.4861814608463283,-0.16111945466286204,-0.08992058235964395,0.14143936113855193,0.042972266367419125,6.445839955112869e-05,0.0,3.5051546391752577,6.020618556701031,34.02061855670103,1000000.0,0.01
test,10,1.0,66,0.5315249914090108,0.2572154685967695,-0.1741063401297357,-0.04150962750883236,0.05751861234325362,1.7043428227342334,0.595893785375238,0.0008938406780628572,0.015151515151515152,1.8181818181818181,16.37878787878788,20.12121212121212,1000000.0,0.03
test,10,1.5,66,0.6222057019079634,0.2935437567943874,-0.18488525489644003,0.015465981383386618,0.1199584940843923,1.5668004926398869,0.536135251437349,0.0008042028771560234,0.015151515151515152,1.8181818181818181,15.893939393939394,19.848484848484848,1000000.0,0.03
test,10,3.0,66,0.505382897495422,0.252564402101565,-0.1982930480560795,-0.0582180829787885,0.043072754219460885,1.2214286909227086,0.41596402197492627,0.0006239460329623892,0.015151515151515152,0.7878787878787878,14.196969696969697,17.651515151515152,1000000.0,0.03
test,30,1.0,66,0.6163235810710816,0.30229815812619476,-0.16122875915719914,0.016639367566392727,0.12478214382561026,1.1130393417671405,0.6793680140296835,0.0010190520210445252,0.030303030303030304,4.045454545454546,25.484848484848484,45.71212121212121,1000000.0,0.03
test,30,1.5,66,0.5724601819653272,0.2863092437688015,-0.16674995422004346,-0.010850793486156696,0.09394125033447409,0.8101102491935079,0.4637193044666144,0.0006955789566999217,0.015151515151515152,5.621212121212121,19.181818181818183,43.39393939393939,1000000.0,0.03
test,30,3.0,66,0.6287833302537067,0.3111151197560365,-0.1831372992896073,0.02350854971938121,0.13246097966602566,0.1404899039375549,0.0729087322054069,0.00010936309830811035,0.0,3.893939393939394,1.6666666666666667,34.0,1000000.0,0.03
validation,10,1.0,97,-0.2486874805984809,-0.08339754275883847,-0.575359253299297,-0.24026010513364648,-0.17634517945336114,1.799699325909457,0.3483326696864956,0.0005224990045297434,0.0,2.8556701030927836,19.391752577319586,22.79381443298969,1000000.0,0.03
validation,10,1.5,97,-0.22367382978992922,-0.06964068236582593,-0.5571064139279006,-0.2129073609481723,-0.14647409982077286,1.6441232312170033,0.3181866596125251,0.0004772799894187877,0.010309278350515464,2.3608247422680413,19.783505154639176,22.814432989690722,1000000.0,0.03
validation,10,3.0,97,-0.20160433264326705,-0.053025525375682205,-0.5456282685977918,-0.1857895316381638,-0.11760815327381768,1.2374010739708299,0.2657633577486286,0.00039864503662294295,0.010309278350515464,0.5051546391752577,17.917525773195877,19.938144329896907,1000000.0,0.03
validation,30,1.0,97,-0.16415429623339362,-0.04983028590096146,-0.5137052747964204,-0.1584764712116331,-0.08729276579907541,1.2644519764405995,0.5150918516804928,0.000772637777520739,0.020618556701030927,6.752577319587629,39.175257731958766,55.44329896907217,1000000.0,0.03
validation,30,1.5,97,-0.153975661562207,-0.04548011555537502,-0.5136004638592936,-0.14816625625866198,-0.07624726431086937,0.9115660209095016,0.3598523664337623,0.0005397785496506436,0.030927835051546393,6.484536082474227,31.309278350515463,50.23711340206186,1000000.0,0.03
validation,30,3.0,97,-0.16425553050492347,-0.05187123153307878,-0.48033898342064907,-0.16089807985070637,-0.08942840464163337,0.10177779762983184,0.05038324832632127,7.55748724894819e-05,0.0,2.865979381443299,1.8556701030927836,33.24742268041237,1000000.0,0.03
test,10,1.0,66,0.9512284888979852,0.35764287941493866,-0.17467984481188226,0.2306480235872077,0.3579535209254847,1.6586004380837631,0.7866739251018385,0.0011800108876527577,0.015151515151515152,1.8181818181818181,15.272727272727273,19.90909090909091,1000000.0,0.05
test,10,1.5,66,0.8993544005785519,0.3453125842924125,-0.20406912596488302,0.19796476686353337,0.3211352124092115,1.5698966427282577,0.6924534205090833,0.0010386801307636251,0.015151515151515152,1.8181818181818181,14.06060606060606,18.71212121212121,1000000.0,0.05
test,10,3.0,66,0.5939748175718271,0.28143494454915463,-0.18550955676921388,-0.002073829129132121,0.10376193154627944,1.1811668496817296,0.5089069640687739,0.000763360446103161,0.015151515151515152,0.7878787878787878,12.454545454545455,16.71212121212121,1000000.0,0.05
test,30,1.0,66,0.5993357088294315,0.3017745257286918,-0.1484560908923106,0.00438504570194298,0.11126669080913598,1.0666029726352735,0.7784703063379573,0.0011677054595069362,0.030303030303030304,3.3333333333333335,17.651515151515152,40.93939393939394,1000000.0,0.05
test,30,1.5,66,0.5161299600959988,0.2707495075202545,-0.16166173168905273,-0.04851347228425562,0.052581599035028015,0.7596794060937895,0.5249895612548606,0.0007874843418822909,0.030303030303030304,4.909090909090909,13.045454545454545,39.96969696969697,1000000.0,0.05
test,30,3.0,66,0.5897303116193071,0.2981313022372516,-0.18033982046372643,-0.0019026120605655228,0.10479990351266788,0.13369530417091846,0.07478923077587517,0.00011218384616381277,0.0,3.893939393939394,0.9848484848484849,33.984848484848484,1000000.0,0.05
validation,10,1.0,97,-0.13125418523475618,-0.024300947690051866,-0.49923685272806106,-0.11507268117895686,-0.04025517228396369,1.7916447501843842,0.5018192144835852,0.0007527288217253778,0.0,2.9072164948453607,18.371134020618555,22.31958762886598,1000000.0,0.05
validation,10,1.5,97,-0.1484316904405728,-0.03313826706105847,-0.5071202071657375,-0.13455186489713566,-0.06151454109048382,1.6243472182560235,0.45098518652493147,0.0006764777797873973,0.010309278350515464,2.3608247422680413,18.030927835051546,21.608247422680414,1000000.0,0.05
validation,10,3.0,97,-0.209756446389183,-0.06329777220897723,-0.5255904168929407,-0.1993934319807218,-0.13191667143614316,1.1991276547947312,0.3625692902430613,0.0005438539353645919,0.010309278350515464,0.41237113402061853,16.11340206185567,18.77319587628866,1000000.0,0.05
validation,30,1.0,97,-0.15661120228156034,-0.04654293655206944,-0.5112455920920811,-0.1513135770479006,-0.07948289090128147,1.210599270130453,0.6498569914175636,0.0009747854871263455,0.020618556701030927,6.752577319587629,31.15463917525773,50.94845360824742,1000000.0,0.05
validation,30,1.5,97,-0.16429215635333816,-0.05094538586609774,-0.5189189101276086,-0.15907450663408318,-0.08788716484948389,0.8587438645862264,0.4462225122393597,0.0006693337683590396,0.030927835051546393,6.536082474226804,24.010309278350515,47.08247422680412,1000000.0,0.05
validation,30,3.0,97,-0.15558317790524612,-0.049852402930368626,-0.47490170272482957,-0.15407490219600184,-0.08229300347210111,0.10264983078046568,0.056396517785441726,8.459477667816259e-05,0.0,3.1752577319587627,1.1237113402061856,33.402061855670105,1000000.0,0.05
test,10,1.0,66,0.8396737821767195,0.33108067561886684,-0.1691017335015088,0.16139944647735227,0.2826468294262585,1.6127579236941247,1.044459128820474,0.0015666886932307106,0.015151515151515152,1.106060606060606,11.651515151515152,17.106060606060606,1000000.0,0.1
