split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,desired_turnover,filled_turnover,buy_reject_count,sell_reject_count,partial_fill_count,position_count,avg_abs_control_exposure_z,avg_abs_full_style_exposure_z
validation,20240325,industry_size,20,0.0,0.0,0.017565459837677506,0.01745583106784986,0.021533018238617974,0.018939302028768874,-0.004077187170768114,-0.0014834709609190151,0.00010962876982764488,1.7759696558350944,0.07308584655176326,0,7,50,57,0.19954937346720722,0.2624023279510648
validation,20240325,industry_size,20,0.0,0.02,0.017409757187911858,0.017302520653724292,0.021533018238617974,0.018939302028768874,-0.004230497584893682,-0.0016367813750445825,0.00010723653418756686,1.7262409249409252,0.07149102279171124,0,7,47,54,0.196167538878412,0.26028386718705343
validation,20240325,industry_size,20,0.1,0.0,0.01828671918900316,0.0181772019246625,0.021533018238617974,0.018939302028768874,-0.0033558163139554738,-0.0007621001041063745,0.00010951726434066167,1.7502450779612915,0.07301150956044111,0,4,49,53,0.19340987153581468,0.298047259525776
validation,20240325,industry_size,20,0.1,0.02,0.018657326983505442,0.018548995780844107,0.021533018238617974,0.018939302028768874,-0.002984022457773867,-0.0003903062479247675,0.00010833120266133436,1.709536966181972,0.07222080177422291,0,4,50,54,0.1870624710468228,0.29120827200223465
validation,20240401,none,20,0.0,0.0,-0.050571965634716345,-0.05065911307776311,-0.04246558326564398,-0.04147236618593543,-0.008193529812119127,-0.009186746891827677,8.714744304676041e-05,1.7296870162914761,0.05809829536450694,0,7,49,56,0.0,0.26306480954834915
validation,20240401,none,20,0.0,0.02,-0.050314422496984326,-0.050400703597118464,-0.04246558326564398,-0.04147236618593543,-0.007935120331474484,-0.008928337411183034,8.62811001341344e-05,1.6202464548266433,0.057520733422756265,0,7,49,56,0.0,0.2589761278432764
validation,20240401,none,20,0.1,0.0,-0.050571965634716345,-0.05065911307776311,-0.04246558326564398,-0.04147236618593543,-0.008193529812119127,-0.009186746891827677,8.714744304676041e-05,1.7296870162914761,0.05809829536450694,0,7,49,56,0.0,0.26306480954834915
validation,20240401,none,20,0.1,0.02,-0.050314422496984326,-0.050400703597118464,-0.04246558326564398,-0.04147236618593543,-0.007935120331474484,-0.008928337411183034,8.62811001341344e-05,1.6202464548266433,0.057520733422756265,0,7,49,56,0.0,0.2589761278432764
validation,20240401,industry_size,20,0.0,0.0,-0.050571965634716345,-0.05065911307776311,-0.04246558326564398,-0.04147236618593543,-0.008193529812119127,-0.009186746891827677,8.714744304676041e-05,1.7296870162914761,0.05809829536450694,0,7,49,56,0.20884886863925567,0.26306480954834915
validation,20240401,industry_size,20,0.0,0.02,-0.050314422496984326,-0.050400703597118464,-0.04246558326564398,-0.04147236618593543,-0.007935120331474484,-0.008928337411183034,8.62811001341344e-05,1.6202464548266433,0.057520733422756265,0,7,49,56,0.20113968748156355,0.2589761278432764
