candidate,split,feature,selected_mean,universe_mean,selected_minus_universe,diff_ir
k30_keep3,test,lag1_log_total_mv,15.48945755305586,15.323295618717987,0.16616193433787327,3.123095916299991
k30_keep3,test,lag1_beta_20d,0.8282861035306489,0.8568931878246617,-0.028607084294012944,-0.3970531008754545
k30_keep3,test,lag1_beta_60d,0.8437106986138347,0.8699426236540911,-0.026231925040256253,-0.6025396646651425
k30_keep3,test,lag1_ret_20d,0.027912639198993443,0.02676437462857277,0.0011482645704206764,0.041467906208226366
k30_keep3,test,lag1_ret_5d_mean,0.0017035096614242604,0.0015371784457466533,0.00016633121567760685,0.07835043311197448
k30_keep3,test,lag1_ret_20d_mean,0.0014987929095115415,0.0013662061002808505,0.00013258680923069146,0.1062666703781136
k30_keep3,test,lag1_ret_60d_mean,0.0013564561129738605,0.001256767828321113,9.96882846527476e-05,0.12401801056832035
k30_keep3,test,lag1_ret_20d_std,0.026776632568518297,0.027708689195750542,-0.0009320566272322485,-0.42088354982702875
k30_keep3,test,lag1_ret_60d_std,0.027765264831639394,0.0288577410780876,-0.001092476246448205,-0.5582944574996254
k30_keep3,test,lag1_amplitude,0.03798914617574308,0.038329955422102456,-0.00034080924635936853,-0.10095184898851171
k30_keep3,test,lag1_vol_log,11.987868780577859,12.082917748646807,-0.09504896806894722,-0.7404675497808817
k30_keep3,test,lag1_amount_log,13.638474476678413,13.565054067741977,0.0734204089364366,0.7060188456020483
k30_keep3,test,lag1_amount_rank_pct,0.5211793494896263,0.5150654727614365,0.006113876728189617,0.2558891132562096
k30_keep3,test,lag1_amount_20d_mean,2280493.095721212,1763026.3077168013,517466.788004411,1.6340142242746487
k30_keep3,test,lag1_amount_60d_mean,2227004.3721346552,1705618.8391804134,521385.5329542415,2.1850876819814955
k30_keep3,test,lag1_turnover_rate,2.8286162121212115,3.138565485673942,-0.3099492735527292,-0.8564591343424113
k30_keep3,test,lag1_turnover_rate_f,3.7645441414141416,4.368046611303902,-0.6035024698897608,-1.1313956504979172
k30_keep3,test,lag1_turnover_20d_mean,2.7110049494949497,3.059068161284681,-0.34806321178973176,-1.1316423069236343
k30_keep3,test,lag1_turnover_60d_mean,2.7371489267676763,3.07199277336922,-0.33484384660154315,-1.4760121158963244
k30_keep3,test,lag1_turnover_cost_proxy,0.19854071211271151,0.22140264751074382,-0.02286193539803228,-0.9781380172146925
k30_keep3,test,lag1_illiquidity_proxy,3.428510730790135e-08,3.222500326433069e-08,2.060104043570662e-09,0.33421474237206883
k30_keep3,validation,lag1_log_circ_mv,15.030876326653878,14.693518657306125,0.33735766934775135,4.75089789056638
k30_keep3,validation,lag1_log_total_mv,15.275448791778508,14.995892165462283,0.27955662631622036,4.151966188872856
k30_keep3,validation,lag1_beta_20d,1.019317645402532,0.992829968382966,0.026487677019565756,0.26912843179867196
k30_keep3,validation,lag1_beta_60d,1.027669462946763,0.993255121735494,0.034414341211268996,0.6638738620333896
k30_keep3,validation,lag1_ret_20d,-0.011034414174320927,-0.00016728092567266573,-0.01086713324864826,-0.5321800386023057
k30_keep3,validation,lag1_ret_5d_mean,-0.00023796642347494534,8.842950424541629e-05,-0.0003263959277203617,-0.1752267549700558
k30_keep3,validation,lag1_ret_20d_mean,-0.00033062611439193125,2.4622823608114315e-05,-0.00035524893800004554,-0.33274108898280114
k30_keep3,validation,lag1_ret_60d_mean,-0.00040248387566251817,2.1519625451670207e-05,-0.0004240035011141883,-0.7223432385579178
k30_keep3,validation,lag1_ret_20d_std,0.02545555402121311,0.02650856089597154,-0.0010530068747584265,-0.5472184717782136
k30_keep3,validation,lag1_ret_60d_std,0.02661604413029555,0.027658488349581,-0.0010424442192854518,-0.6825573858441325
k30_keep3,validation,lag1_amplitude,0.03514071821383564,0.036529413668681426,-0.0013886954548457927,-0.4593292541950338
k30_keep3,validation,lag1_vol_log,11.408029244209951,11.387129987617298,0.020899256592651825,0.1549097528437629
k30_keep3,validation,lag1_amount_log,12.838619478932,12.663006439241164,0.1756130396908376,1.4766073868391068
k30_keep3,validation,lag1_amount_rank_pct,0.5551691461237627,0.5038289352270787,0.05134021089668396,1.4939417573376006
