code,price
301522.SZ,27.5
301525.SZ,71.38
301526.SZ,21.36
301528.SZ,66.1
301529.SZ,109.79
301533.SZ,28.5
301535.SZ,16.57
301536.SZ,80.0
301538.SZ,90.06
301539.SZ,16.17
301548.SZ,76.5
301550.SZ,108.3
301551.SZ,25.26
301552.SZ,26.67
301555.SZ,39.49
301556.SZ,70.3
301557.SZ,89.49
301558.SZ,7.22
301559.SZ,14.68
301560.SZ,32.67
301563.SZ,176.42
301565.SZ,27.26
301566.SZ,31.08
301567.SZ,44.14
301568.SZ,73.5
301571.SZ,59.75
301575.SZ,42.74
301577.SZ,82.53
301578.SZ,32.48
301580.SZ,56.3
301581.SZ,50.62
301584.SZ,23.33
301585.SZ,26.91
301586.SZ,37.96
301587.SZ,27.55
301588.SZ,35.47
301589.SZ,157.6
301590.SZ,167.97
301591.SZ,49.2
301592.SZ,108.0
301595.SZ,46.22
301596.SZ,73.12
301598.SZ,58.3
301600.SZ,99.2
301601.SZ,19.4
301602.SZ,16.72
301603.SZ,125.92
301606.SZ,71.3
301607.SZ,53.03
301608.SZ,54.86
301609.SZ,50.64
301611.SZ,89.39
301613.SZ,43.57
301616.SZ,39.77
301617.SZ,52.0
301618.SZ,39.78
301622.SZ,54.88
301626.SZ,321.79
301628.SZ,124.68
301629.SZ,353.03
301630.SZ,244.8
301631.SZ,82.88
301632.SZ,17.34
301633.SZ,53.84
301636.SZ,52.34
301638.SZ,27.87
301656.SZ,18.14
301658.SZ,36.41
301662.SZ,141.95
301665.SZ,23.66
301667.SZ,87.19
301668.SZ,40.11
301678.SZ,53.47
301687.SZ,58.36
