run,dropped_feature,split,k,top_ann,top_cum,excess_bench_ann,excess_universe_ann,long_short_ann,long_short_cum,avg_turnover,avg_ls_turnover,base_top_ann,base_excess_universe_ann,base_long_short_ann,base_avg_turnover,delta_top_ann,delta_excess_universe_ann,delta_long_short_ann,delta_avg_turnover
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,test,30,0.3646612477750193,0.502513102289103,-0.18019469399997434,-0.09492503506187422,-0.2327176428869,-0.293119321337704,0.6979797979797979,1.2717171717171716,0.40131811880787316,-0.06685548532747454,-0.2569410185978612,0.7757575757575756,-0.036656871032853866,-0.02806954973439968,0.024223375710961226,-0.07777777777777772
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,validation,10,-0.08671086695353014,-0.16017927065997706,-0.009710573761039454,0.04886828336530491,-0.03922538607818382,-0.0741229461211117,1.202061855670103,2.0783505154639172,-0.13467120542968158,-0.008378001016792758,-0.055845125522302363,1.2144329896907216,0.04796033847615144,0.05724628438209767,0.016619739444118542,-0.012371134020618513
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,validation,20,-0.11405841923824989,-0.20790793935637697,-0.04447760908304488,0.012234331907704732,-0.014877174188783981,-0.028435654742019034,0.9989690721649487,1.7422680412371137,-0.1342514997028701,-0.005598877915552913,-0.05857109205519884,0.9896907216494846,0.020193080464620206,0.017833209823257645,0.043693917866414855,0.009278350515464107
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,validation,30,-0.14520113712559357,-0.2606243999093637,-0.07563536305752339,-0.020337228835685117,-0.020478952640650028,-0.03904051533094566,0.7910652920962199,1.4378006872852234,-0.15419469679198183,-0.028762368164924612,-0.06664694436199903,0.8103092783505156,0.008993559666388262,0.008425139329239495,0.046167991721349,-0.019243986254295686
drop_amount_log_resid,lag1_amount_log__resid_style,test,10,0.44472707992875304,0.6189868709855304,-0.13541169704201883,-0.04651839620245335,-0.3327570922539673,-0.41129778462080213,1.2393939393939395,2.196969696969697,0.3304591286275993,-0.11226139525128842,-0.33066114686758075,1.1636363636363638,0.11426795130115375,0.06574299904883507,-0.0020959453863865773,0.07575757575757569
drop_amount_log_resid,lag1_amount_log__resid_style,test,20,0.40683807682118633,0.5636127287254735,-0.1562018097798452,-0.06757106388189493,-0.24942368770367507,-0.3132058380088141,0.9484848484848487,1.7484848484848488,0.4127107637935603,-0.06089006450175227,-0.28015431076652875,0.9772727272727275,-0.005872686972373975,-0.00668099938014266,0.03073062306285368,-0.028787878787878807
drop_amount_log_resid,lag1_amount_log__resid_style,test,30,0.4300007770440957,0.5974105507174978,-0.14501572702069343,-0.05481717566714661,-0.20799793538225286,-0.26314896726221515,0.7545454545454545,1.3929292929292927,0.40131811880787316,-0.06685548532747454,-0.2569410185978612,0.7757575757575756,0.028682658236222514,0.012038309660327928,0.04894308321560836,-0.021212121212121127
drop_amount_log_resid,lag1_amount_log__resid_style,validation,10,-0.11146769879017127,-0.2034439926217555,-0.03839818022271746,0.019553558504473267,-0.055646519890431234,-0.10433842350172273,1.2989690721649485,2.2742268041237117,-0.13467120542968158,-0.008378001016792758,-0.055845125522302363,1.2144329896907216,0.02320350663951032,0.027931559521266025,0.00019860563187112934,0.08453608247422695
drop_amount_log_resid,lag1_amount_log__resid_style,validation,20,-0.1372283477365599,-0.2472946852107989,-0.06615562913185125,-0.009223721641704485,-0.07187891226974641,-0.1337329651636895,1.0649484536082476,1.8432989690721653,-0.1342514997028701,-0.005598877915552913,-0.05857109205519884,0.9896907216494846,-0.002976848033689805,-0.003624843726151572,-0.013307820214547572,0.07525773195876306
drop_amount_log_resid,lag1_amount_log__resid_style,validation,30,-0.1327946643949729,-0.23983251092053426,-0.06292389424436728,-0.005858302215876909,-0.005756818023764043,-0.0110500989037019,0.8460481099656357,1.533333333333333,-0.15419469679198183,-0.028762368164924612,-0.06664694436199903,0.8103092783505156,0.02140003239700894,0.022904065949047703,0.060890126338234984,0.03573883161512015
