split,trade_date,k,keep_multiplier,keep_rank,cost_bps,daily_count,top_turnover,bottom_turnover,long_short_turnover,top_transaction_cost,bottom_transaction_cost,long_short_transaction_cost,top_return_gross,top_return_net,bottom_return_gross,bottom_short_return_net,long_short_gross,long_short_net,benchmark_return,universe_equal_return,top_excess_vs_benchmark_net,top_excess_vs_universe_net
test,20250627,20,2.0,40,10.0,77,0.4999999999999999,1.0000000000000002,1.5000000000000002,0.0004999999999999,0.001,0.0015,0.0114256846976599,0.0109256846976599,-0.0145359424679184,0.0135359424679184,0.0259616271655784,0.0244616271655783,0.0150114063415134,0.0045187002388931,-0.0040857216438534,0.0064069844587668
test,20250704,20,2.0,40,10.0,78,0.4999999999999999,0.4999999999999999,1.0,0.0004999999999999,0.0004999999999999,0.0009999999999999,0.0085912134611494,0.0080912134611494,0.0366832703045198,-0.0371832703045198,-0.0280920568433704,-0.0290920568433704,0.0235887199626756,0.0251173161977565,-0.0154975065015262,-0.0170261027366071
test,20250711,20,2.0,40,10.0,79,0.2,0.3,0.5,0.0002,0.0003,0.0005,0.0421478298107609,0.0419478298107609,0.0104739203116127,-0.0107739203116127,0.0316739094991482,0.0311739094991482,0.0317408824116822,0.0249707069958487,0.0102069473990786,0.0169771228149122
test,20250718,20,2.0,40,10.0,78,0.4999999999999999,0.3999999999999999,0.8999999999999999,0.0004999999999999,0.0003999999999999,0.0008999999999999,0.034285762845158,0.033785762845158,0.0409691522680425,-0.0413691522680425,-0.0066833894228844,-0.0075833894228844,0.027623847683422,0.033271547512532,0.0061619151617359,0.000514215332626
test,20250725,20,2.0,40,10.0,78,0.6,0.8000000000000002,1.4,0.0006,0.0008,0.0014,0.0206167953928398,0.0200167953928398,0.0168097164893147,-0.0176097164893147,0.003807078903525,0.002407078903525,-0.0074480705737046,-0.0012182735416542,0.0274648659665444,0.021235068934494
test,20250801,20,2.0,40,10.0,78,0.3999999999999999,0.6,1.0,0.0003999999999999,0.0006,0.001,0.0153661185103424,0.0149661185103424,-0.0135507064086159,0.0129507064086159,0.0289168249189583,0.0279168249189583,0.0048790447092059,0.007460891737734,0.0100870738011364,0.0075052267726083
test,20250808,20,2.0,40,10.0,80,0.7000000000000001,0.4999999999999999,1.2,0.0007,0.0004999999999999,0.0012,0.0590336542704121,0.0583336542704121,0.0256323715912623,-0.0261323715912623,0.0334012826791498,0.0322012826791498,0.0858025783657725,0.0593719218947902,-0.0274689240953603,-0.001038267624378
test,20250815,20,2.0,40,10.0,79,0.7000000000000001,0.6,1.3,0.0007,0.0006,0.0013,0.0714763790303943,0.0707763790303943,0.0536027332150492,-0.0542027332150492,0.017873645815345,0.016573645815345,0.0585325173395652,0.052627358395006,0.012243861690829,0.0181490206353882
test,20250822,20,2.0,40,10.0,79,1.0000000000000002,0.8000000000000002,1.8000000000000005,0.001,0.0008,0.0018,0.0635918181516071,0.0625918181516071,0.0466586004856326,-0.0474586004856326,0.0169332176659744,0.0151332176659744,0.0773786418154138,0.0487627643161438,-0.0147868236638067,0.0138290538354632
test,20250829,20,2.0,40,10.0,74,0.3999999999999999,0.6,1.0,0.0003999999999999,0.0006,0.001,0.0110266232943844,0.0106266232943844,-0.0160024744129939,0.0154024744129939,0.0270290977073784,0.0260290977073784,0.0235476995944674,-0.0005727944433971,-0.0129210763000829,0.0111994177377815
test,20250905,20,2.0,40,10.0,73,1.0000000000000002,1.0000000000000002,2.0000000000000004,0.001,0.001,0.002,0.0207527076225448,0.0197527076225448,0.0029274322749938,-0.0039274322749938,0.0178252753475509,0.0158252753475509,0.0210405989356297,0.0145895659002678,-0.0012878913130848,0.005163141722277
test,20250912,20,2.0,40,10.0,78,0.3999999999999999,0.7000000000000001,1.1,0.0003999999999999,0.0007,0.0011,0.0037714414737178,0.0033714414737178,0.0180998598543627,-0.0187998598543627,-0.0143284183806449,-0.0154284183806449,0.0233677873386537,0.0114134304481273,-0.0199963458649359,-0.0080419889744095
test,20250919,20,2.0,40,10.0,79,0.7000000000000001,0.3,1.0,0.0007,0.0003,0.001,0.0039281512033747,0.0032281512033747,0.0529263746576693,-0.0532263746576693,-0.0489982234542945,-0.0499982234542945,0.0195814724894358,0.024505100679156,-0.016353321286061,-0.0212769494757812
test,20250926,20,2.0,40,10.0,80,0.7000000000000001,0.4999999999999999,1.2,0.0007,0.0004999999999999,0.0012,-0.0053229723326462,-0.0060229723326462,0.0093508877310892,-0.0098508877310892,-0.0146738600637355,-0.0158738600637355,-0.0230896111758293,0.0025023288814841,0.017066638843183,-0.0085253012141304
test,20251013,20,2.0,40,10.0,80,1.1000000000000003,0.3999999999999999,1.5000000000000002,0.0011,0.0003999999999999,0.0015,-0.037927157873207,-0.039027157873207,-0.0572584510981425,0.0568584510981425,0.0193312932249355,0.0178312932249355,-0.0277083424075965,-0.0452336107907041,-0.0113188154656104,0.0062064529174971
test,20251020,20,2.0,40,10.0,79,0.4999999999999999,0.3,0.7999999999999999,0.0004999999999999,0.0003,0.0007999999999999,0.0066117637108353,0.0061117637108353,0.0490313795601778,-0.0493313795601778,-0.0424196158493424,-0.0432196158493424,0.0805088795558603,0.0406729643657087,-0.074397115845025,-0.0345612006548734
test,20251027,20,2.0,40,10.0,79,1.1000000000000003,1.0000000000000002,2.1000000000000005,0.0011,0.001,0.0021,0.0085606154862807,0.0074606154862807,-0.0029461432316588,0.0019461432316588,0.0115067587179396,0.0094067587179396,-0.0116197951889632,0.0023949785054401,0.019080410675244,0.0050656369808406
test,20251103,20,2.0,40,10.0,79,0.4999999999999999,0.6,1.1,0.0004999999999999,0.0006,0.0010999999999999,-0.0098030122314921,-0.0103030122314921,0.0088102001793518,-0.0094102001793518,-0.0186132124108439,-0.0197132124108439,-0.0056441753716109,-0.0049469019552543,-0.0046588368598811,-0.0053561102762378
test,20251110,20,2.0,40,10.0,78,0.6,0.3,0.8999999999999999,0.0006,0.0003,0.0009,-0.0034427208839507,-0.0040427208839507,-0.022181493573699,0.021881493573699,0.0187387726897483,0.0178387726897483,-0.0231606801401473,-0.0299068148793563,0.0191179592561966,0.0258640939954056
test,20251117,20,2.0,40,10.0,77,0.8000000000000002,0.8000000000000002,1.6000000000000003,0.0008,0.0008,0.0016,-0.074552508457448,-0.075352508457448,-0.0585223303875772,0.0577223303875772,-0.0160301780698708,-0.0176301780698708,-0.0567307442726618,-0.0560915669760141,-0.0186217641847862,-0.0192609414814339
