split,trade_date,k,num_buckets,k_per_bucket,rotated_bucket,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,filled_turnover,desired_turnover,position_count,buy_rejects,sell_rejects,active_buckets,portfolio_nav
test,20250923,30,5,6,4,88,0.019196317056192645,0.019045807950666523,0.03968701126614316,0.04784388494545235,-0.020641203315476635,-0.02879807699478583,0.00015050910552612368,0.10033940368408245,1.9469073338173364,101,0,3,5,10000000.0
test,20250924,30,5,6,0,87,-0.003579038834255198,-0.003659843819514698,0.02393640022264143,0.03147768752070109,-0.027596244042156128,-0.035137531340215786,8.080498525950001e-05,0.05386999017300001,1.9139084707054232,101,0,3,5,10000000.0
test,20250925,30,5,6,1,89,-0.02693333641207014,-0.027009517241214663,-0.037858963049477556,-0.009799038385553785,0.010849445808262893,-0.017210478855660877,7.618082914452411e-05,0.050787219429682735,1.9163828408843067,100,0,2,5,10000000.0
test,20250926,30,5,6,2,89,0.009007053910360305,0.008879369908680265,-0.023089611175829305,0.0026209488318726026,0.03196898108450957,0.006258421076807662,0.00012768400168004175,0.0851226677866945,1.9170516927216157,99,0,3,5,10000000.0
test,20250929,30,5,6,3,90,-0.027405558999885126,-0.027479355714578033,-0.08709937106778387,-0.044353046713514054,0.05962001535320584,0.01687369099893602,7.379671469290804e-05,0.049197809795272024,1.9125773231686025,99,0,3,5,10000000.0
test,20250930,30,5,6,4,89,-0.011327245864832695,-0.011448439534823657,-0.06555975626036803,-0.04133530145714047,0.054111316725544374,0.029886861922316814,0.00012119366999096171,0.08079577999397447,1.8872222530308624,98,0,3,5,10000000.0
test,20251009,30,5,6,0,89,-0.03631398792656192,-0.03638887770847742,-0.06878968257617979,-0.049743753165531805,0.03240080486770237,0.013354875457054383,7.48897819155e-05,0.049926521277,1.861883376415484,98,0,3,5,10000000.0
test,20251010,30,5,6,1,89,-0.037047674923288046,-0.03711010658354805,-0.05714016176151693,-0.020369220984245814,0.02003005517796888,-0.016740885599302233,6.243166026000001e-05,0.041621106840000005,1.858177132759711,98,0,2,5,10000000.0
test,20251013,30,5,6,2,90,-0.07158264820137797,-0.07166039926544242,-0.027708342407596565,-0.05389148483783352,-0.04395205685784585,-0.017768914427608896,7.775106406445049e-05,0.051834042709633654,1.8515935267414578,97,0,3,5,10000000.0
test,20251014,30,5,6,3,90,-0.04044894678385308,-0.04050902617395393,0.04321154610119393,-0.0010762838104624774,-0.08372057227514787,-0.03943274236349145,6.007939010085153e-05,0.04005292673390102,1.8600201966390444,96,0,3,5,10000000.0
