run,split,k,style_col,top_mean,bottom_mean,top_minus_bottom
new_alpha18_resid,validation,10,lag1_ret_20d_std,0.025920620921123284,0.03613503881583233,-0.010214417894709038
new_alpha18_resid,validation,10,lag1_ret_60d_std,0.027313548713484015,0.035140760677291494,-0.007827211963807477
new_alpha18_resid,validation,10,lag1_amplitude,0.03578316165101826,0.049804344176357165,-0.0140211825253389
new_alpha18_resid,validation,10,lag1_limit_position,0.48783270087120034,0.5115915774542814,-0.023758876583081096
new_alpha18_resid,validation,10,lag1_limit_touch_up,0.0002066115702479339,0.006198347107438017,-0.005991735537190083
new_alpha18_resid,validation,10,lag1_limit_touch_down,0.0002066115702479339,0.0006198347107438017,-0.0004132231404958678
new_alpha18_resid,validation,10,lag1_near_limit_up_2pct,0.0004132231404958678,0.006198347107438017,-0.005785123966942148
new_alpha18_resid,validation,10,lag1_near_limit_down_2pct,0.0004132231404958678,0.0004132231404958678,0.0
new_alpha18_resid,validation,30,lag1_log_circ_mv,14.686299572221072,14.879632908861502,-0.19333333664042976
new_alpha18_resid,validation,30,lag1_amount_20d_mean,531269.1833196798,956786.7767732079,-425517.59345352824
new_alpha18_resid,validation,30,lag1_amount_rank_pct,0.44648552388322205,0.6606767874389119,-0.21419126355568974
new_alpha18_resid,validation,30,lag1_turnover_rate_f,2.1086636776859504,3.6722670110192834,-1.5636033333333332
new_alpha18_resid,validation,30,lag1_turnover_cost_proxy,0.11216404698997955,0.19864791426857825,-0.08648386727859869
new_alpha18_resid,validation,30,lag1_ret_20d_std,0.024634587167167144,0.03132571321876397,-0.006691126051596833
new_alpha18_resid,validation,30,lag1_ret_60d_std,0.026501326448510002,0.03142574589586035,-0.004924419447350346
new_alpha18_resid,validation,30,lag1_amplitude,0.034196657432097086,0.04421173206899273,-0.01001507463689564
new_alpha18_resid,validation,30,lag1_limit_position,0.4910483851974719,0.5094312535375031,-0.018382868340031177
new_alpha18_resid,validation,30,lag1_limit_touch_up,0.0006887052341597795,0.004752066115702479,-0.0040633608815427
new_alpha18_resid,validation,30,lag1_limit_touch_down,0.0002066115702479339,0.0002754820936639118,-6.887052341597796e-05
new_alpha18_resid,validation,30,lag1_near_limit_up_2pct,0.0012396694214876032,0.005165289256198347,-0.003925619834710743
new_alpha18_resid,validation,30,lag1_near_limit_down_2pct,0.00034435261707988987,0.0002066115702479339,0.0001377410468319559
